Francais,Malagasy,Anglais
suède,soeda,sweden
suisse,soisa,swiss
tunisienne,tonizianina,tunisian
tunisien,tonizianina,tunisian
tunisie,tonizia,tunisia
turc,tiorka,turk
turque,tiorka,turk
uruguay,orogoay,uruguay
vénézuela,venezoelà,venezuela
vénézuelienne,venezoelianina,venezuelan
vénézuelien,venezoelianina,venezuelan
yougoslave,iogoslavy,"yugoslavian,yugoslav"
yougoslavie,iogoslavia,yugoslavia
"géographie:rivières, lacs","haitoetany:renirano, farihy","geography:rivers, lakes"
inguéable,tsiribihina,unfordable
géographie:topographie,haitoetany:soridrefitany,geography:topography
géologie,haibolantany,geology
alluvion,tany dilatra,clay
amiante,"amianta,amianty,vatosiraka",asbestos
argile,"ditra,tanidìtra,tanimanga",clay
bois silicifié,"hazovato,vatoharana,vatohazo",petrified wood
cailloa arrondiu,vatokilonjy,pebble (a small round)
caillou,kilonjy,pebble
charbon de terre (un),arintany,coal
craie,tsaoka,chalk
creux (un),lempona,"concavity (a),hollow (a)"
doline,lempona,"concavity (a),hollow (a)"
galet,"kilonjy,vatokilonjy","pebble (a small round),pebble"
goudron,tara,tar
houille (une),arintany,coal
latérite,tany mena,laterite
latéritique (sol),tany mena,laterite
mica,eladrano,mica
pierre ponce,vatonakoho,"pumice stone,pumice"
pierre précieuse,vatosoa,precious stone
roche sédimentaire (une),"vato faika,vato sedimantera",sedimentary rock (a)
sable (du),fasika,sand
sablonneux,"fasehina,fasihina",sandy
stratifié,mandeha ambaratonga,stratified
terre glaise,tanimanga,clay
tuiles,tanimanga,clay
grammaire,fitsipi-pitenenana,grammar
histoire,tantara,history
hébreu,hebrio,hebrew
hindou (un),karàna,"indian (an),pakistanese (a)"
indien (un),karàna,"indian (an),pakistanese (a)"
pakistanais (un),karàna,"indian (an),pakistanese (a)"
"histoire:clans, tribus",tantara:firenena,"history:clans, tribes"
comorien,"ajojo,marovanjo",comorian
comorienne,"ajojo,marovanjo",comorian
zoulou,zoloa,zulu
histoire:(en général),tantara:(amin' ny ankapobeny),history:(in general)
histoire:faits,tantara:fisehoan-javatra,history:facts
histoire:lieux,tantara:toerana,history:places
histoire:personnages,tantara:olona,history:individuals
alexandre,aleksandra,alexander
industrie,taozava-baventy,industry
aimant (un),andriamby,"loadstone (a),magnet (a)"
damier,sikimbalobe,plaid
forgeron (un),tambỳ,smith (a)
limaille,taim-by,"scoria,slag"
lisse,haraka,heddle
minerai,tsora,ore
ressort,vy miaina,spring
scorie,taim-by,"scoria,slag"
spirale,vy miaina,spring
instrument,fitaovana,instrument
boussole,famantaranavaratra,compass
boussole (une),tondro avaratra,compass (a)
girouette,famantarandrivotra,weather-cock
horloge (une),famantaranandro,"clock (a),watch (a)"
montre (une),famantaranandro,"clock (a),watch (a)"
thermomètre,"fitsapan-kafanana,tondro fana",thermometer
jeu,kilalao,game
amusement (un),filalaovana,"amusement (an),play (a)"
as,baondy,ace
balançoire (une),antsavily,swing (a)
balle (une),baolina,ball (a)
ballon (un),"balaonina,baolina",ball (a)
bille (une),kanety,marble (a)
bonnet phrygien (un),fonombimena,hearts in playing cards
carte (une),karatra,card (a)
coeur dans les jeux de cartes (le),fonombimena,hearts in playing cards
coeur (un),samamena,heart (a)
dame (une),andriambavy,queen in cards (a)
danser (manière de),dadamanainga,dancing (mode of)
danse (une),dada,dance (a)
dés (des),kodiakely,dice (a)
dé (un),kodiakely,dice (a)
échec,eseka,chess
échecs malgache (jeu d'),fanorona,chess (malagasy)
escarpolette (une),antsavily,swing (a)
fermé (jeu de domino),banty,ended (domino game)
jeu (un),"filalaovana,katra","amusement (an),game (a),play (a)"
jonglerie,tanisa,"counting (game involving),jacks"
maisonnette,kitranotrano,toy house
poupée (une),"kijanajanaka,saribakoly",doll (a)
roi,andriandahy,king
toupie (une),tandrimo,top (a)
trapèze (un),antsavily,swing (a)
trèfle au jeu de cartes,"elatra,lalitra",club at cards
valet (un),ampamaky,jack in cards (a)
linguistique,haiteny,linguistics
accent aigu (un),tendro miraika havanana,acute accent (a)
accent circonflexe (un),tendro satroka,circumflex accent (a)
accent grave (un),tendro miraika havia,accent (a grave)
accolade (une),farango lava,curly brace (a)
actif (verbe),matoantenin' ny mpanao,"active verb,active voice,verb (active),voice (active)"
active (voix),matoantenin' ny mpanao,"active verb,active voice,verb (active),voice (active)"
adjectifs (des),mpamaritra,"adjective (an),adjectives"
adjectif (un),mpamaritra,"adjective (an),adjectives"
adverbe (un),tambinteny,adverb (an)
affixe (un),"tovana,tovona,tsirinteny,tsofoka","prefix (a),suffix (a)"
anagramme (un),fivaditsoratra,anagram (an)
antonyme (un),tohi-kevitra,antonym (an)
antonymie (une),fifanoheran-keviteny,antonymy (an)
apostrophe (une),faingomihantona,apostrophe (an)
cédille (une),rambokely,cedilla (a)
circonfixe (un),tsirinteny sara-droa,circumfix (a)
classe distributionnelle (une),sokajin-teny,"part of speech (a),parts of speech (the)"
commandement (un),teny,"language (a),speech (a),word (a)"
commission (une),teny,"language (a),speech (a),word (a)"
conjonction de coordination (une),mpampitohy,"conjunction (a),coordinating conjunction (a)"
conjonction (une),mpampitohy,"conjunction (a),coordinating conjunction (a)"
conjuguer,mitanisa,conjugate (to)
consonne écrite (une),renisoratra,"consonant (a),consonnant (a written),written consonnant (a)"
consonne prononcée,renifeo,"consonant (a),consonnant (a written),written consonnant (a)"
consonne (une),"renifeo,renisoratra","consonant (a),consonnant (a written),written consonnant (a)"
crochet droit (un),fononteny mahitsy,square bracket (a)
défense (une),teny,"language (a),speech (a),word (a)"
dénomination (une),anarana,name (a)
deux points,teboka roa,colon
dièse,diezy,"hash-tag (a),pound sign (a)"
discours (un),teny,"language (a),speech (a),word (a)"
écrite (une consonne),renisoratra,"consonant (a),consonnant (a written),written consonnant (a)"
engagement (un),volana,"speaking,speech (a)"
grammaire (une),fitsipi-pitenenana,grammar (a)
guillemet,faraingososona,quotation mark
hypéronyme (un),renianarana,hyperonym (an)
hyponyme (un),zanakanarana,hyponym (an)
langage (un),teny,"language (a),speech (a),word (a)"
language (un),fiteny,"language (a),speaking (way of)"
langue (une),"fiteny,teny","language (a),speaking (way of),speech (a),word (a)"
lettre (une),tarehin-tsoratra,letter (a)
locution (une),fitenenana,"expression (an),speaking (act of)"
marque (une),hirigirika,"mark (a),point (a)"
métathèse (une),"fivadi-tsingampeo,vadipeo",metathesis (a)
morphème discontinu (un),tsirinteny sara-droa,circumfix (a)
mot de liaison,mpampifandray,link-word
mot (un),teny,"language (a),speech (a),word (a)"
nom propre (un),anaran-tsamirery,name (a)
nom (un),anarana,name (a)
ordre (un),teny,"language (a),speech (a),word (a)"
orthographe,tsipelina,spelling
orthographe (une),fitsipipanoratana,spelling (a)
oxyton,teny mitsatoka,oxytone
parenthèse,braketra,"bracket,parenthesis"
parenthèse (une),"efi-teny,fononteny",parenthesis (a)
parler (action de),"fitenenana,volana","expression (an),speaking (act of),speaking,speech (a)"
parler (manière de),"fitenenana,fiteny","expression (an),language (a),speaking (act of),speaking (way of)"
parole (une),"teny,volana","language (a),speaking,speech (a),word (a)"
paroxyton,teny mingadona,paroxytone
partie du discours (une),sokajin-teny,"part of speech (a),parts of speech (the)"
parties du discours (les),sokajin-teny,"part of speech (a),parts of speech (the)"
passif (verbe),matoantenin' ny atao,"passive verb,passive voice,verb (passive),voice (passive)"
passive (voix),matoantenin' ny atao,"passive verb,passive voice,verb (passive),voice (passive)"
phonologie (une),"ava-peo,laha-peo",phonology (a)
point d'exclamation (un),tsoraka,point (an exclamation)
point d'interrogation (un),"baraingo,teboka manontany",question mark (a)
point final (un),teboka famaranana,"full stop (a),period (a)"
points de suspension (trois),"teboka telo mifampitohy,teboka telo","ellipsis (an),suspension points"
point (un),"hirigirika,teboka","mark (a),period (a),point (a)"
point-virgule (un),teboka aman-paingo,semicolon (a)
ponctuation,fijanonan-tsoratra,punctuation
ponctuation (un signe de),girigirika fijanonana,punctuation mark (a)
préfixe (un),tovona,prefix (a)
préposition,mpampiankina,preposition
prohibition (une),teny,"language (a),speech (a),word (a)"
promesse (une),volana,"speaking,speech (a)"
pronom (un),mpisolo,"pronoun (a),substitute (a)"
prononcée (une consonne),renifeo,"consonant (a),consonnant (a written),written consonnant (a)"
prononciation (qui ont la même),rahalahin-teny,"misapprehension (a),misconception (a)"
proparoxyton,teny mitsaikona,proparoxytone
proposition (une),"fehezankevitra,teny","language (a),speech (a),word (a)"
racine (une),fototeny,"etymology (an),root (a),theme (a)"
radical (un),fototeny,"etymology (an),root (a),theme (a)"
relatif (verbe),"matoantenin' ny famenony,matoantenin' ny fameno","relative verb,relative voice,verb (relative),voice (relative)"
relative (voix),matoantenin' ny fameno,"relative verb,relative voice,verb (relative),voice (relative)"
remplaçant (un),mpisolo,"pronoun (a),substitute (a)"
remplacé (celui qui est),mpisolo,"pronoun (a),substitute (a)"
remplace (celui qui),mpisolo,"pronoun (a),substitute (a)"
substitut (un),mpisolo,"pronoun (a),substitute (a)"
suffixe (un),tovana,suffix (a)
sujet grammatical (un),lazaina,subject (a)
syllabe (une),"vaki-teny,vaninteny",syllable (a)
synonyme (un),"teny mitovitovy dika,teny mitovitovy hevitra,teny mitovy hevitra",synonym (a)
terme de liaison,mpampifandray,link-word
trait d'union (un),tsipipanohizana,hyphen (an)
tréma (un),tendro kambana,"diaeresis (a),dieresis (a)"
verbe actif,matoantenin' ny mpanao,"active verb,active voice,verb (active),voice (active)"
verbe passif,matoantenin' ny atao,"passive verb,passive voice,verb (passive),voice (passive)"
verbe relatif,"matoantenin' ny famenony,matoantenin' ny fameno","relative verb,relative voice,verb (relative),voice (relative)"
verbe (un),matoanteny,verb (a)
virgule (une),faingo,comma (a)
voix active,matoantenin' ny mpanao,"active verb,active voice,verb (active),voice (active)"
voix passive,matoantenin' ny atao,"passive verb,passive voice,verb (passive),voice (passive)"
voix relative,matoantenin' ny fameno,"relative verb,relative voice,verb (relative),voice (relative)"
voyelle écrite,zanatsoratra,"vowel (a),voyel (a written),written voyel (a)"
voyelle prononcée,zanapeo,"voiced voyel (a),voyel (a voiced),voyel (a)"
voyelle (une),"zanapeo,zanatsoratra","voiced voyel (a),vowel (a),voyel (a voiced),voyel (a written),voyel (a),written voyel (a)"
littérature,haisoratra,literature
littérature:auteurs,haisoratra:mpanoratra,literature:authors
littérature:discours,haisoratra:kabary,literature:speeches
discours d' andrianampoinimerina,kabary nataon' andrianampoinimerina,speeches by andrianampoinimerina
discours de ilehimijila,kabary nataon' ilehimijila,speeches of ilehimijila
discours de rabemila,kabary nataon-drabemila,speeches of rabemila
discours de radama i,kabary nataon-dradama i,speeches of radama i
discours de radama ii,kabary nataon-dradama ii,speeches of radama ii
discours de rainiketaka,kabary nataon-drainiketaka,speeches of rainiketaka
discours de rainilaiarivony,kabary nataon-drainilaiarivony,speeches of rainilaiarivony
discours de rainitsimindrana,kabary nataon-drainitsimindrana,speeches of rainitsimindrana
discours de rainitsiroba,kabary nataon-drainitsiroba,speeches of rainitsiroba
discours de ralambomavitrika,kabary nataon-dralambomavitrika,speeches of ralambomavitrika
discours de ramahazaka,kabary nataon-dramahazaka,speeches of ramahazaka
discours de ranavalona i,kabary nataon-dranavalona i,speeches of ranavalona i
discours de ranavalona ii,kabary nataon-dranavalona ii,speeches of ranavalona ii
discours de rasoherina,kabary nataon-drasoherina,speeches of rasoherina
discours de ravalomanana marc,kabary nataon-dravalomanana marc,speeches of ravalomanana marc
littérature:(en général),haisoratra:(amin' ny ankapobeny),literature:(in general)
chercher ce qui est perdu,mitady ny very,find what is lost (to)
conte,"arira,hagà,tangahatry","fable,fiction,figment,legend,tale"
conte (un),"angano,tantara","fable (a),story (a),tale (a)"
discours (un),"hainteny,kabary","adage (an),discourse (a),palaver (a),proclamation (a),proverb (a),repartee (a),speech (a),wisdom (a)"
écrit (un discours),lahatsoratra,"manuscript (a),written discourse (a)"
enjolivements (des),angano,"fable (a),story (a),tale (a)"
expression figurée (une),hainteny,"adage (an),discourse (a),proverb (a),repartee (a),wisdom (a)"
extraordinaire (une chose),angano,"fable (a),story (a),tale (a)"
fable (une),angano,"fable (a),story (a),tale (a)"
farce (une),angano,"fable (a),story (a),tale (a)"
histoire,arira,"fable,legend"
histoire (une),tantara,"story (a),tale (a)"
historiette (une),angano,"fable (a),story (a),tale (a)"
littérature (une),haisoratra,prose (a)
manuscrit (un),lahatsoratra,"manuscript (a),written discourse (a)"
palabre (un),kabary,"discourse (a),palaver (a),proclamation (a),speech (a)"
pièce de théâtre (une),teatira,play (theater)
poème (un),tononkalo,poem (a)
prose (une),haisoratra,prose (a)
proverbe (un),"hainteny,ohabolana","adage (an),discourse (a),proverb (a),repartee (a),saying (a),wisdom (a)"
rime (une),rima,rhyme (a)
savoir-parler (un),hainteny,"adage (an),discourse (a),proverb (a),repartee (a),wisdom (a)"
sornettes,hagà,"fable,fiction,figment,tale"
superfétation (une),angano,"fable (a),story (a),tale (a)"
texte (un),lahatsoratra,"manuscript (a),written discourse (a)"
vers (un),adl,verse (a)
littérature:histoire courte,haisoratra:tantara fohy,literature:short story
littérature:livres,haisoratra:boky,literature:books
littérature:pièces,haisoratra:teatira,literature:plays
littérature:poèmes,haisoratra:tononkalo,literature:poems
loi,lalàna,law
accusation (sur qui pèse une),manan-teny,censure (being under)
accusation (une),ampanga,"accusation (an),accuser (an)"
agent,polisy,"constable,police"
aiguille de fléau (une),fitsarana,"court of law (a),judgement (a seat of),judgement (a),judgment (a)"
amnistie (une),famotsoran-keloka,amnisty (an)
bande,tontakely,"gang,thief"
brigandage en bande,jirika,band of robbers (a)
brigand,tontakely,"gang,thief"
carte grise,kara-piara,vehicle registration
chambre (une),rantsam-pitsarana,court (a)
condamnation avec sursis (une),sazy mihantona,sentence (a suspended)
condamnation (une),heloka,"condemnation (a),crime (a),guilt (a),injury (an),offence (an),perversity (a),sin (a)"
condamné,voaheloka,condemned
cour constitutionnelle,fitsarana avo momba ny lalampanorenana,court (high constitutional)
cour suprême (la),fitsarana tampony,court (the supreme)
court d' appel,fitsarana ambony,court of appeal
culpabilité (une),heloka,"condemnation (a),crime (a),guilt (a),injury (an),offence (an),perversity (a),sin (a)"
droit civiques (les),zo,civil rights
droit (le),zo,civil rights
droits de l'homme (les),zon' olombelona,human rights (the)
effraction (vol avec),tamy trano,burglary (a)
faute (une),heloka,"condemnation (a),crime (a),guilt (a),injury (an),offence (an),perversity (a),sin (a)"
fraude,sandoka,fraud
inspecteur,inspektera,inspector
jugement (un),fitsarana,"court of law (a),judgement (a seat of),judgement (a),judgment (a)"
larron,tontakely,"gang,thief"
ministre,minisitra,minister
nationalité (une),zom-pirenena,nationality (a)
pillards (une bande de),jirika,band of robbers (a)
police,polisy,"constable,police"
prévention (qui est sous),manan-teny,censure (being under)
prise d'otage (une),bohiry,kidnapping (a)
source is dominique ramarlah,bohiry,kidnapping (a)
testament (un),didim-pananana,testament (last will and)
tribunal (un),"fitsarana,rantsam-pitsarana","court (a),court of law (a),judgement (a seat of),judgement (a),judgment (a)"
vol avec effraction,tamy trano,burglary (a)
"maisons d'édition, journaux","mpanonta printy, gazety","publishers, newspapers"
mathématiques,matematika,mathematics
boucle (une),tondro mifolaka,loop (a)
mathématiques:algèbre,matematika:alijebra,mathematics:algebra
abscisse (une),fangitra voalohany,abscissa (an)
aljèbre,aljebra,aljebra
discriminant,mpanasaraka,discriminant
fonction (une),lefa,function (a)
réciproque,mpifampivoho,reciprocal
trinôme du second degré,telo miantoana ambaratonga faharoa,quadratic trinomial
trinôme,telomiantoana,trinomial
mathématiques:arithmétique,matematika:rafitrisa,mathematics:arithmetic
addition (une),adisanina,addition (an)
cardinal (un),isa,number (a)
centième,fahazato,"hundredth,percent"
centième (un),ampahazato,"hundredth (a),percent (a)"
cent mille,hetsy,hundred thousand (a)
cent un,"iraika amby zato,iray venty amby zato",hundred and one (a)
